TA,TST
95.318000412,79.8299987316
95.5480001807,79.9499982595
95.592000401,80.0199983716
95.6420001507,80.019997716
95.8539999723,80.2099986672
95.7240004539,80.0799984932
95.7660002351,80.1499984264
95.7160001278,80.0199978352
95.7360000372,80.1099980474
95.7780002594,80.1199980974
95.811999929,79.8699983954
95.8500000477,80.129998982
96.007999897,80.1899984479
95.6720004678,79.7999981642
95.8560001254,79.9499982595
95.6300004125,79.7699987292
95.9619999409,80.139998138
95.9659998536,80.2099981904
95.6360004067,80.0199982524
95.9420000076,80.0999985337
95.838000226,80.0299983621
96.1580000281,80.1599982381
95.9000001431,80.1299983263
96.1360000253,79.9399984479
95.9960000277,80.0199977756
95.8440002322,80.0299986005
96.0340000629,80.3099983931
96.1459996343,80.2199980617
96.0000000477,80.0699983239
95.8960000992,80.1899985075
96.2279998064,80.2399983406
96.2100001216,80.1599982977
96.218000102,80.2199982405
96.0420002699,80.1699986458
96.0720001459,79.8699983954
96.2019999027,80.1299985647
96.1659999371,80.0199983716
96.2359999299,79.9399983883
96.1439998627,80.0499981642
96.447999692,80.179998219
96.30200001,80.3899983764
96.1000000954,80.2699984312
96.403999579,80.2399983406
96.3239997149,80.3899983764
96.1679998398,80.1299985647
96.4499995828,80.0899987817
96.4759995103,80.1899977922
96.3899996996,79.9999985099
96.4879997492,80.2699981928
96.3439997911,80.1899980903
96.2579999566,79.9199979305
96.347999835,80.1899977922
96.5299994707,80.239998281
96.4019996881,79.9699983597
96.3199997544,80.3699982762
96.4159999251,80.4499979019
96.1699999213,80.1099982262
96.2679998398,80.3199982643
96.5839997411,80.2899984717
96.5359998107,80.2599978447
96.5619995832,80.3099983335
96.3439998865,80.0599985123
96.5499996781,80.0299981236
96.6379997015,80.0599982738
96.487999773,80.0699985623
96.3159999728,79.8799981475
96.2939998507,80.0099980831
96.3959997654,80.2299981117
96.5939995885,80.2899981141
96.6979998112,80.2699983716
96.5359996915,80.4799988866
96.5219997525,80.1499989629
96.5079997063,80.2999987006
96.4879999757,80.3099984527
96.5999996305,80.2799987793
96.191999948,79.9899983406
96.579999876,80.4099984169
96.7779994369,80.4499988556
96.5459998369,80.2299982309
96.9139993548,80.5699986219
96.4639996767,80.1399983168
96.7519996047,80.2399981618
96.9379993081,80.2499976754
96.7159995198,80.1299984455
96.8899992943,80.4999982119
96.7479996443,80.2899988294
96.9659994245,80.2499985695
96.8539995551,80.2799992561
96.7719995141,80.0799988508
96.8879994631,80.5299981833
96.9919992566,80.5399977565
96.6939993143,80.4399977922
96.4599998116,80.0599979162
96.8599994183,80.239997983
96.4379997253,80.4499987364
96.8539995432,80.3599987626
96.975999558,80.489998281
96.8019994497,80.3799986243
97.195999229,80.5399983525
